,action_name
494,ifExpression##if##(##expression##)##controlStructureBody
495,primaryExpression##ifExpression
496,"kotlinFile##
##
##
##packageHeader##importList##topLevelObject##topLevelObject##<EOF>"
497,identifier##simpleIdentifier##.##simpleIdentifier##.##simpleIdentifier##.##simpleIdentifier
498,;
499,"semi##;##
"
500,RetentionPolicy
501,simpleIdentifier##RetentionPolicy
502,"semi##;##
##
"
503,JavaClass
504,simpleIdentifier##JavaClass
505,declaration## @
506,interface
507,Foo
508,simpleIdentifier##Foo
509,classDeclaration##interface##simpleIdentifier
510,int
511,NoSuchMethodException
512,getMethod
513,simpleIdentifier##getMethod
514,classDeclaration##class##.##simpleIdentifier
515,10
516,literalConstant##10
517,classMemberDeclarations##classMemberDeclaration##classMemberDeclaration
518,controlStructureBody##statement
519,else
520,$test
521,lineStringContent##$test
522,ifExpression##if##(##expression##)##controlStructureBody##else##controlStructureBody
523,classDeclaration##interface##simpleIdentifier##classBody
524,"semis##
##
##
##
"
525,42
526,literalConstant##42
527,lineStringContent##Fail
528,"kotlinFile##
##
##
##
##packageHeader##importList##topLevelObject##topLevelObject##topLevelObject##<EOF>"
529,KClass
530,simpleIdentifier##KClass
531,i
532,simpleIdentifier##i
533,a
534,lineStringContent##a
535,simpleIdentifier##a
536,c
537,simpleIdentifier##c
538,callableReference##receiverType##::##simpleIdentifier
539,IntArray
540,simpleIdentifier##IntArray
541,intArrayOf
542,simpleIdentifier##intArrayOf
543,arrayOf
544,simpleIdentifier##arrayOf
545,b
546,lineStringContent##b
547,ann
548,simpleIdentifier##ann
549,MyClass
550,simpleIdentifier##MyClass
551,) return 
552,fail
553,parameter
554,should
555,be
556,\
557,"\"""
558,of
559,classDeclaration##class##simpleIdentifier
560,but
561,was
562,", "
563,"
    return "
564,classParameters##(##)
565,setter##modifiers##set
566,t
567,simpleIdentifier##t
568,p
569,simpleIdentifier##p
570,getDeclaredMethod
571,simpleIdentifier##getDeclaredMethod
572,declaration##public
573,J
574,simpleIdentifier##J
575,double
576,Double
577,
578,1.0
579,/
580,0.0
581,float
582,Float
583,1.0f
584,0.0f
585,callableReference##receiverType##::##class
586,"block##{##
##
##statements##}"
587,file
588,"fileAnnotation##
@##file##:##unescapedAnnotation"
589,JvmName
590,simpleIdentifier##JvmName
591,"fileAnnotation##
@##file##:##unescapedAnnotation##
"
592,forName
593,simpleIdentifier##forName
594,lineStringContent##null
595,elvisExpression##infixFunctionCall##elvis##infixFunctionCall
596,package
597,identifier##simpleIdentifier
598,packageHeader##package##identifier##semi
599,Test1
600,simpleIdentifier##Test1
601,T
602,simpleIdentifier##T
603,typeParameter##simpleIdentifier
604,typeParameters##<##typeParameter##>
605,classDeclaration##modifiers##class##simpleIdentifier##typeParameters##primaryConstructor
606,Test2
607,simpleIdentifier##Test2
608,T1
609,simpleIdentifier##T1
610,typeParameter##simpleIdentifier##:##type
611,T2
612,simpleIdentifier##T2
613,"typeParameters##<##typeParameter##,##typeParameter##>"
614,I
615,simpleIdentifier##I
616,classDeclaration##interface##simpleIdentifier##typeParameters
617,Test3
618,simpleIdentifier##Test3
619,delegationSpecifier##userType
620,classDeclaration##class##simpleIdentifier##typeParameters##:##delegationSpecifiers
621,"typeArguments##<##typeProjection##,##typeProjection##>"
622,xs
623,simpleIdentifier##xs
624,38
625,literalConstant##38
626,39
627,literalConstant##39
628,40
629,literalConstant##40
630,50
631,literalConstant##50
632,primaryExpression##collectionLiteral
633,simpleIdentifier##O
634,"semis##
##
##
##
##
"
635,24
636,literalConstant##24
637,44
638,literalConstant##44
639,55
640,literalConstant##55
641,66
642,literalConstant##66
643,simpleIdentifier##K
644,additiveExpression##multiplicativeExpression##additiveOperator##multiplicativeExpression
645,"declaration##
@##Retention##(##RetentionPolicy##.##RUNTIME##)"
646,"declaration##
@"
647,JavaAnn
648,simpleIdentifier##JavaAnn
649,valueArgument##*##expression
650,"semis##
##
##
"
651,fail1: 
652,fail2
653,fail3
654,fail4
655,value2
656,fail5
657,fail6
658,9
659,"

    return "
660,"
}
"
661,5
662,"semis##;##
"
663,byte
664,short
665,d
666,long
667,j
668,g
669,on
670,for
671,expected
672,declaration##annotation##.##*
673,lineStringContent##x
674,getX
675,functionValueParameters##(##functionValueParameter##)
676,constructorDelegationCall##this##valueArguments
677,"kotlinFile##
##
##
##packageHeader##importList##topLevelObject##topLevelObject##topLevelObject##topLevelObject##topLevelObject##topLevelObject##topLevelObject##topLevelObject##topLevelObject##<EOF>"
678,static
679,declaration##public##static
680,final
681,-
682,2f
683,2.0
684,l
685,2L
686,simpleIdentifier##d
687,simpleIdentifier##l
688,simpleIdentifier##b
689,"valueArguments##(##valueArgument##,##valueArgument##,##valueArgument##,##valueArgument##,##valueArgument##,##valueArgument##)"
690,boolean
691,char
692,'c'
693,str
694,simpleIdentifier##str
695,i2
696,toInt
697,c2
698,Modifier
699,simpleIdentifier##Modifier
700,"propertyDeclaration##modifiers##var##variableDeclaration##=##expression##
"
701,literalConstant##5
702,"propertyDeclaration##var##variableDeclaration##=##expression##
##getter##
##setter"
703,and
704,simpleIdentifier##and
705,infixFunctionCall##rangeExpression##simpleIdentifier##rangeExpression
706,excl##!
707,prefixUnaryOperator##excl
708,unaryPrefix##prefixUnaryOperator
709,statements##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis
710,"kotlinFile##
##
##
##
##
##packageHeader##importList##topLevelObject##topLevelObject##topLevelObject##<EOF>"
711,"
    }
}
"
712,CLASS
713,assert
714,asList
715,implements
716,declaration##private
717,id
718,"semis##;##
##
"
719,Override
720,declaration## @##Override
721,Void
722,classDeclaration##interface##simpleIdentifier##:##delegationSpecifiers
723,simpleIdentifier##id
724,Documented
725,inline
726,functionModifier##inline
727,reified
728,reificationModifier##reified
729,typeParameterModifier##reificationModifier
730,typeParameterModifiers##typeParameterModifier
731,typeParameter##typeParameterModifiers##simpleIdentifier
732,functionDeclaration##modifiers##fun##typeParameters##simpleIdentifier##functionValueParameters##:##type##functionBody
733,callSuffix##typeArguments##valueArguments
734,"kotlinFile##
##
##
##
##
##packageHeader##importList##topLevelObject##topLevelObject##topLevelObject##topLevelObject##topLevelObject##topLevelObject##<EOF>"
735,Bar
736,simpleIdentifier##Bar
737,kotlinFile##packageHeader##importList##topLevelObject##topLevelObject##<EOF>
738,kind
739,simpleIdentifier##kind
740,FAIL
741,enumEntry##simpleIdentifier
742,simpleIdentifier##OK
743,enumClassBody##{##enumEntries##}
744,Test
745,simpleIdentifier##Test
746,parameterModifiers##annotation
747,functionValueParameter##parameterModifiers##parameter
748,123
749,lineStringContent##123
750,DefaultImpls
751,lineStringContent##DefaultImpls
752,joinToString
753,enumEntries##enumEntry
754,simpleIdentifier##Double
755,u
756,simpleIdentifier##u
757,UInt
758,simpleIdentifier##UInt
759,arr
760,simpleIdentifier##arr
761,simpleIdentifier##assert
762,comparisonOperator##>
763,literalConstant##2.0
764,comparison##genericCallLikeComparison##comparisonOperator##genericCallLikeComparison
765,comparisonOperator##<
766,3.0
767,literalConstant##3.0
768,conjunction##equality##&&##equality
769,is
770,isOperator##is
771,infixOperation##elvisExpression##isOperator##type
772,isEmpty
773,simpleIdentifier##isEmpty
774,contentEquals
775,statements##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis
776,Byte
777,simpleIdentifier##Byte
778,Short
779,simpleIdentifier##Short
780,simpleIdentifier##Float
781,Long
782,simpleIdentifier##Long
783,Char
784,simpleIdentifier##Char
785,toByte
786,Suppress
787,simpleIdentifier##Suppress
788,INVISIBLE_MEMBER
789,lineStringContent##INVISIBLE_MEMBER
790,INVISIBLE_REFERENCE
791,lineStringContent##INVISIBLE_REFERENCE
792,simpleIdentifier##internal
793,userType##simpleUserType##.##simpleUserType##.##simpleUserType
794,bar
795,simpleIdentifier##bar
796,4
797,literalConstant##4
798,fail1
799,lineStringContent##fail1
800,lineStringContent##fail2
801,"kotlinFile##
##
##packageHeader##importList##topLevelObject##topLevelObject##topLevelObject##topLevelObject##topLevelObject##<EOF>"
802,"declaration##
@##Retention##(##RetentionPolicy##.##CLASS##)"
